mode,num_ops,transfer_size,switch_delay,max_outstanding,avg_latency_ns,ops_completed,blocks_transferred,total_sim_time_ns,total_bytes,effective_bw_gbps,aggregate_bw_gbps,sim_duration_ms,orch_mode
dcs-pipe,10,65536,25,16,2203690.0,10.0,10240.0,0,655360,0.0,,1919,pipelined
baseline,10,65536,25,16,425.22,,,256546,655360,2.554551620372175,2.55455,230,
dcs,100,65536,25,16,17613500.0,100.0,102400.0,0,6553600,0.0,,2007,serialized
dcs-pipe,100,65536,25,16,18159900.0,100.0,102400.0,0,6553600,0.0,,1960,pipelined
baseline,100,65536,25,16,425.313,,,2562084,6553600,2.5579176951263114,2.55792,2301,
dcs,10,65536,25,32,1144930.0,10.0,10240.0,0,655360,0.0,,1177,serialized
dcs-pipe,10,65536,25,32,1131110.0,10.0,10240.0,0,655360,0.0,,1052,pipelined
baseline,10,65536,25,32,824.078,,,256114,655360,2.558860507430285,2.55886,239,
dcs,100,65536,25,32,9026160.0,100.0,102400.0,0,6553600,0.0,,1174,serialized
dcs-pipe,100,65536,25,32,9376080.0,100.0,102400.0,0,6553600,0.0,,1142,pipelined
baseline,100,65536,25,32,824.908,,,2560114,6553600,2.5598860050763363,2.55989,2314,
