id,type,memid,addr,send,arrive,bus_queuing,bus_time,switch_queuing,switch_time,snoop_evict,host_inv,dram_queuing,dram_time,total_time
0,Non-temporal write,1,100000000,500,591,0,0,0,50,0,0,0,1,91
1,Non-temporal write,2,300000000,1000,1091,0,0,0,50,0,0,0,1,91
2,Non-temporal read,3,0,1500,2099,0,0,0,50,0,0,0,49,599
3,Non-temporal read,4,200000000,2000,2599,0,0,0,50,0,0,0,49,599
4,Non-temporal write,1,100000040,2599,2690,0,0,0,50,0,0,0,1,91
5,Non-temporal write,2,300000040,3099,3190,0,0,0,50,0,0,0,1,91
6,Non-temporal read,3,40,3599,4176,0,0,0,50,0,0,0,27,577
7,Non-temporal read,4,200000040,4099,4676,0,0,0,50,0,0,0,27,577
8,Non-temporal write,1,100000080,4676,4767,0,0,0,50,0,0,0,1,91
9,Non-temporal write,2,300000080,5176,5267,0,0,0,50,0,0,0,1,91
10,Non-temporal read,3,80,5676,6253,0,0,0,50,0,0,0,27,577
11,Non-temporal read,4,200000080,6176,6895,0,0,0,50,0,0,0,169,719
12,Non-temporal write,1,1000000c0,6753,6844,0,0,0,50,0,0,0,1,91
13,Non-temporal write,2,3000000c0,7395,7486,0,0,0,50,0,0,0,1,91
14,Non-temporal read,3,c0,7895,8494,0,0,0,50,0,0,0,49,599
15,Non-temporal read,4,2000000c0,8395,8972,0,0,0,50,0,0,0,27,577
16,Non-temporal write,1,100000100,8994,9085,0,0,0,50,0,0,0,1,91
17,Non-temporal write,2,300000100,9494,9585,0,0,0,50,0,0,0,1,91
18,Non-temporal read,3,100,9994,10571,0,0,0,50,0,0,0,27,577
19,Non-temporal read,4,200000100,10494,11071,0,0,0,50,0,0,0,27,577
20,Non-temporal write,1,100000140,11071,11162,0,0,0,50,0,0,0,1,91
21,Non-temporal write,2,300000140,11571,11662,0,0,0,50,0,0,0,1,91
22,Non-temporal read,3,140,12071,12648,0,0,0,50,0,0,0,27,577
23,Non-temporal read,4,200000140,12571,13148,0,0,0,50,0,0,0,27,577
24,Non-temporal write,1,100000180,13148,13239,0,0,0,50,0,0,0,1,91
25,Non-temporal write,2,300000180,13648,13739,0,0,0,50,0,0,0,1,91
26,Non-temporal read,3,180,14148,14725,0,0,0,50,0,0,0,27,577
27,Non-temporal read,4,200000180,14648,15225,0,0,0,50,0,0,0,27,577
